"id","reportid","eqpt_type","mass","type","bunker_lot_id"
18045798,"41e08847-a47b-4b44-b515-9f9446c65fd7","main_engines_total","14.043000","hfo","85fe2401-400d-48a4-8081-7bebbd704371"
18045799,"41e08847-a47b-4b44-b515-9f9446c65fd7","main_engines_total","20.157000","lfo","9d73f9b7-a2a4-468c-86b1-a716d4ff2396"
16916251,"e9da49af-55e6-48e8-b7c6-005249455d5b","aux_engines_total","4.100000","lfo","f436c178-6a22-4a6e-bf9d-c551d547bf6e"
16913633,"aa4ea5d5-f4dc-4fee-99b9-fadb5f55efb4","aux_engines_total","4.500000","hfo","924ac90d-8b5b-40c0-bcb9-c7a7a03bc7cf"
16913634,"aa4ea5d5-f4dc-4fee-99b9-fadb5f55efb4","aux_engines_total","0.100000","mgo","fef54ac4-dc6d-4a78-bc9d-a33f0863f1b7"
16913635,"aa4ea5d5-f4dc-4fee-99b9-fadb5f55efb4","main_engines_total","31.800000","hfo","924ac90d-8b5b-40c0-bcb9-c7a7a03bc7cf"
16916252,"e9da49af-55e6-48e8-b7c6-005249455d5b","aux_engines_total","0.100000","mgo","ed742ebe-f93f-47c4-bd24-19bd50573330"
16916253,"e9da49af-55e6-48e8-b7c6-005249455d5b","main_engines_total","34.900000","lfo","f436c178-6a22-4a6e-bf9d-c551d547bf6e"
16914235,"e422a080-be1d-4ec1-bc0d-32a1485cc5da","aux_engines_total","5.200000","hfo","924ac90d-8b5b-40c0-bcb9-c7a7a03bc7cf"
16914236,"e422a080-be1d-4ec1-bc0d-32a1485cc5da","aux_engines_total","0.100000","mgo","ed742ebe-f93f-47c4-bd24-19bd50573330"
16914237,"e422a080-be1d-4ec1-bc0d-32a1485cc5da","main_engines_total","29.500000","hfo","924ac90d-8b5b-40c0-bcb9-c7a7a03bc7cf"
16914995,"ea60c658-c55b-40a8-b063-399fd7b3ed99","aux_engines_total","8.800000","mgo","ed742ebe-f93f-47c4-bd24-19bd50573330"
