"id","reportid","mass","type","lot_id","type_group"
663010708,"d2232bc4-e3b5-48eb-aba5-20831d245975","0.000000","mgo","7F9D2ED1-825C-4943-B0F4-3026ED6C6E1D","mgo01"
663010709,"d2232bc4-e3b5-48eb-aba5-20831d245975","0.000000","lfo","8187F4E5-9CC7-4370-819E-E248E3218D95","vlsfo05"
663010710,"d2232bc4-e3b5-48eb-aba5-20831d245975","72.443000","hfo","85FE2401-400D-48A4-8081-7BEBBD704371","vlsfo05"
663010711,"d2232bc4-e3b5-48eb-aba5-20831d245975","0.000000","lfo","86617822-4402-4A35-B2BE-8181C2C5E8E1","vlsfo05"
663010712,"d2232bc4-e3b5-48eb-aba5-20831d245975","0.000000","lfo","8D0EF3A6-1018-4378-A925-ED45C502BF4B","vlsfo05"
663010713,"d2232bc4-e3b5-48eb-aba5-20831d245975","0.000000","lfo","8E4EE7FC-0C02-4318-B505-A76B82A30BE0","vlsfo05"
663010714,"d2232bc4-e3b5-48eb-aba5-20831d245975","0.000000","lfo","905625BC-3F0F-482D-A9B0-253A2A43606B","vlsfo05"
663010715,"d2232bc4-e3b5-48eb-aba5-20831d245975","0.000000","hfo","924AC90D-8B5B-40C0-BCB9-C7A7A03BC7CF","vlsfo05"
663010716,"d2232bc4-e3b5-48eb-aba5-20831d245975","0.000000","mgo","930F3E08-623B-4FF4-B298-E0ECFD49ABEB","mgo01"
663010717,"d2232bc4-e3b5-48eb-aba5-20831d245975","0.000000","mgo","99778311-0C82-4FA4-B91E-BB536A3B4A8B","mgo01"
663010718,"d2232bc4-e3b5-48eb-aba5-20831d245975","1428.557000","lfo","9D73F9B7-A2A4-468C-86B1-A716D4FF2396","vlsfo05"
663010719,"d2232bc4-e3b5-48eb-aba5-20831d245975","0.000000","mgo","A1578B91-DC43-4CBC-9ECC-CE78DE463D98","mgo01"
663010720,"d2232bc4-e3b5-48eb-aba5-20831d245975","0.000000","hfo","AB4CD675-85F6-4C28-9001-2ACAB630526C","vlsfo05"
663010721,"d2232bc4-e3b5-48eb-aba5-20831d245975","40.060000","mgo","B4C37B85-971B-477A-B734-6F801B720AF0","mgo01"
663010722,"d2232bc4-e3b5-48eb-aba5-20831d245975","0.000000","mdo","BF9A3025-5C26-4CFB-9C04-F105737B9E35","mgo01"
663010723,"d2232bc4-e3b5-48eb-aba5-20831d245975","0.000000","lfo","C27AEF1D-4CB3-4873-85AE-C691B9A8287F","vlsfo05"
663010724,"d2232bc4-e3b5-48eb-aba5-20831d245975","0.000000","lfo","C4B3F469-5E30-4FBC-A8A7-81BE36D95FA2","vlsfo05"
663010725,"d2232bc4-e3b5-48eb-aba5-20831d245975","0.000000","lfo","C6723EEE-CACB-4FBA-9FA1-4E064559695A","vlsfo05"
663010726,"d2232bc4-e3b5-48eb-aba5-20831d245975","0.000000","mgo","E1133E57-7154-46B5-B75D-1A3FEF92867C","mgo01"
663010727,"d2232bc4-e3b5-48eb-aba5-20831d245975","0.000000","mgo","EBAB34DB-DEF2-4551-97C4-F0795A3FA607","mgo01"
663010728,"d2232bc4-e3b5-48eb-aba5-20831d245975","0.000000","mgo","ED742EBE-F93F-47C4-BD24-19BD50573330","mgo01"
663010729,"d2232bc4-e3b5-48eb-aba5-20831d245975","0.000000","mgo","F216094D-74C5-436E-A9BA-A9838D5C50AE","mgo01"
663010730,"d2232bc4-e3b5-48eb-aba5-20831d245975","0.000000","lfo","F36B4716-462F-431A-AA2D-7509F4C24D55","vlsfo05"
663010731,"d2232bc4-e3b5-48eb-aba5-20831d245975","0.000000","lfo","F436C178-6A22-4A6E-BF9D-C551D547BF6E","vlsfo05"
663010732,"d2232bc4-e3b5-48eb-aba5-20831d245975","0.000000","lfo","F44586D3-67E0-4A06-B725-3E0B29E7A061","vlsfo05"
663010733,"d2232bc4-e3b5-48eb-aba5-20831d245975","0.000000","lfo","FAD29EFD-9344-4236-8ED6-6BBDBC118A80","vlsfo05"
